Order Id,order date (DateOrders),Order Year,Order Month,Order Quarter,Sales,Order Profit Per Order,Benefit per order,Order Item Discount,Order Item Product Price,Order Item Quantity,Profit Margin,Customer Id,Customer Segment,Category Name,Product Name,Market,Order Region,Order Country,Shipping Mode,Delivery Status,Days for shipping (real),Days for shipment (scheduled),Shipping Delay,Late_delivery_risk,On-Time Delivery,Latitude,Longitude
77202,31-01-2018 22:56,2018,1,2018Q1,327.75,91.25,91.25,13.10999966,327.75,1,0.278413425,20755,Consumer,Sporting Goods,Smart watch ,Pacific Asia,Southeast Asia,Indonesia,Standard Class,Advance shipping,3,4,-1,0,Yes,18.2514534,-66.03705597
75939,13-01-2018 12:27,2018,1,2018Q1,327.75,-249.0899963,-249.0899963,16.38999939,327.75,1,-0.759999989,19492,Consumer,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,Standard Class,Late delivery,5,4,1,1,No,18.27945137,-66.0370636
75938,13-01-2018 12:06,2018,1,2018Q1,327.75,-247.7799988,-247.7799988,18.03000069,327.75,1,-0.756003047,19491,Consumer,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,Standard Class,Shipping on time,4,4,0,0,Yes,37.29223251,-121.881279
75937,13-01-2018 11:45,2018,1,2018Q1,327.75,22.86000061,22.86000061,22.94000053,327.75,1,0.069748286,19490,Home Office,Sporting Goods,Smart watch ,Pacific Asia,Oceania,Australia,Standard Class,Advance shipping,3,4,-1,0,Yes,34.12594605,-118.2910156
75936,13-01-2018 11:24,2018,1,2018Q1,327.75,134.2100067,134.2100067,29.5,327.75,1,0.40948896,19489,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Oceania,Australia,Standard Class,Advance shipping,2,4,-2,0,Yes,18.25376892,-66.03704834
75935,13-01-2018 11:03,2018,1,2018Q1,327.75,18.57999992,18.57999992,32.77999878,327.75,1,0.05668955,19488,Consumer,Sporting Goods,Smart watch ,Pacific Asia,Oceania,Australia,Standard Class,Shipping canceled,6,4,2,0,No,43.01396942,-78.87906647
75934,13-01-2018 10:42,2018,1,2018Q1,327.75,95.18000031,95.18000031,39.33000183,327.75,1,0.290404272,19487,Home Office,Sporting Goods,Smart watch ,Pacific Asia,Eastern Asia,China,First Class,Late delivery,2,1,1,1,No,18.24253845,-66.03705597
75933,13-01-2018 10:21,2018,1,2018Q1,327.75,68.43000031,68.43000031,42.61000061,327.75,1,0.208787186,19486,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Eastern Asia,China,First Class,Late delivery,2,1,1,1,No,25.92886925,-80.16287231
75932,13-01-2018 10:00,2018,1,2018Q1,327.75,133.7200012,133.7200012,49.15999985,327.75,1,0.407993901,19485,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Eastern Asia,China,Second Class,Late delivery,3,2,1,1,No,18.23322296,-66.03705597
75931,13-01-2018 09:39,2018,1,2018Q1,327.75,132.1499939,132.1499939,52.43999863,327.75,1,0.403203643,19484,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Eastern Asia,China,First Class,Late delivery,2,1,1,1,No,37.77399063,-121.966629
75930,13-01-2018 09:18,2018,1,2018Q1,327.75,130.5800018,130.5800018,55.72000122,327.75,1,0.39841343,19483,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Eastern Asia,Japón,Second Class,Shipping canceled,6,2,4,0,No,18.28284454,-66.03705597
75929,13-01-2018 08:57,2018,1,2018Q1,327.75,45.68999863,45.68999863,59,327.75,1,0.13940503,19482,Consumer,Sporting Goods,Smart watch ,Pacific Asia,Southeast Asia,Indonesia,Second Class,Late delivery,5,2,3,1,No,40.65486527,-73.58707428
75928,13-01-2018 08:36,2018,1,2018Q1,327.75,21.76000023,21.76000023,65.55000305,327.75,1,0.066392068,19481,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Southeast Asia,Indonesia,Second Class,Late delivery,4,2,2,1,No,36.6763382,-121.656517
75927,13-01-2018 08:15,2018,1,2018Q1,327.75,24.57999992,24.57999992,81.94000244,327.75,1,0.074996186,19480,Corporate,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,First Class,Late delivery,2,1,1,1,No,18.27843857,-66.03705597
75926,13-01-2018 07:54,2018,1,2018Q1,327.75,16.38999939,16.38999939,0,327.75,1,0.050007626,19479,Corporate,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,First Class,Late delivery,2,1,1,1,No,42.52627564,-70.92703247
75925,13-01-2018 07:33,2018,1,2018Q1,327.75,-259.5799866,-259.5799866,3.279999971,327.75,1,-0.792006061,19478,Corporate,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,First Class,Late delivery,2,1,1,1,No,18.28404999,-66.03705597
75924,13-01-2018 07:12,2018,1,2018Q1,327.75,-246.3600006,-246.3600006,6.559999943,327.75,1,-0.751670482,19477,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Eastern Asia,Corea del Sur,Second Class,Late delivery,5,2,3,1,No,18.3957901,-65.87288666
75923,13-01-2018 06:51,2018,1,2018Q1,327.75,23.84000015,23.84000015,9.829999924,327.75,1,0.072738368,19476,Corporate,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,First Class,Late delivery,2,1,1,1,No,33.89869309,-118.1745605
75922,13-01-2018 06:30,2018,1,2018Q1,327.75,102.2600021,102.2600021,13.10999966,327.75,1,0.312006109,19475,Consumer,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,First Class,Late delivery,2,1,1,1,No,18.233778,-66.0370636
75921,13-01-2018 06:09,2018,1,2018Q1,327.75,87.18000031,87.18000031,16.38999939,327.75,1,0.265995424,19474,Consumer,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,Same Day,Shipping on time,0,0,0,0,Yes,42.04830551,-87.96134186
75920,13-01-2018 05:48,2018,1,2018Q1,327.75,154.8600006,154.8600006,18.03000069,327.75,1,0.472494281,19473,Corporate,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,Same Day,Shipping on time,0,0,0,0,Yes,33.78245163,-118.1922455
75919,13-01-2018 05:27,2018,1,2018Q1,327.75,82.30000305,82.30000305,22.94000053,327.75,1,0.251106035,19472,Corporate,Sporting Goods,Smart watch ,Pacific Asia,South Asia,India,Standard Class,Late delivery,5,4,1,1,No,18.28337669,-66.03705597
75918,13-01-2018 05:06,2018,1,2018Q1,327.75,22.37000084,22.37000084,29.5,327.75,1,0.068253244,19471,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Oceania,Australia,Second Class,Late delivery,4,2,2,1,No,38.61177445,-121.2828674
75917,13-01-2018 04:45,2018,1,2018Q1,327.75,17.70000076,17.70000076,32.77999878,327.75,1,0.054004579,19470,Corporate,Sporting Goods,Smart watch ,Pacific Asia,Oceania,Australia,Second Class,Shipping canceled,3,2,1,0,No,18.20733643,-66.03705597
